employee_id,survey_month,support_feeling,job_satisfaction,exhaustion_feeling,work_mood,feedback_text,department,location,job_title,worker_type,tenure_months
1,2025-03,Often supported,Satisfied,Rarely,Neutral,Good communication. Safety is prioritized. Fair management.,Management,Citrusdal Pack House,HR Manager,Permanent,88
2,2025-03,Sometimes supported,Neutral,Rarely,Neutral,Clear instructions. Fair pay. Too much overtime. Heavy workload.,Management,Citrusdal Pack House,Operations Manager,Permanent,126
4,2025-03,Often supported,Satisfied,Rarely,Happy,Regular breaks. Fair management. Opportunities to learn.,Management,Ceres Pack House,Operations Manager,Permanent,69
5,2025-03,Sometimes supported,Neutral,Often,Unhappy,Good team. Safety is prioritized. Long hours. Too much overtime.,Management,Ceres Pack House,Finance Manager,Permanent,178
6,2025-03,Often supported,Satisfied,Never,Very happy,Opportunities to learn. Good communication. Proper equipment provided.,Management,Dullstroom,HR Manager,Permanent,191
7,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Proper equipment provided. Fair pay. Transportation issues. Unfair treatment.,Management,Ceres Pack House,Production Manager,Permanent,73
9,2025-03,Often supported,Satisfied,Sometimes,Happy,Regular breaks. Clear instructions. Respectful treatment.,Management,Ceres,HR Manager,Permanent,102
10,2025-03,Often supported,Satisfied,Rarely,Neutral,Good communication. Clear instructions. Fair management.,Management,Dullstroom,HR Manager,Permanent,171
11,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Supportive supervisors. Good working environment. Too much overtime. Transportation issues.,Management,Citrusdal Pack House,Production Manager,Permanent,26
13,2025-03,Sometimes supported,Neutral,Often,Neutral,Fair management. Fair pay. Poor communication. Inadequate breaks.,Management,Citrusdal Pack House,Operations Manager,Permanent,72
14,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Good working environment. Fair management. Poor equipment. Unfair treatment.,Management,Ceres Pack House,General Manager,Permanent,105
15,2025-03,Sometimes supported,Neutral,Often,Neutral,Respectful treatment. Supportive supervisors. Heavy workload. Weather challenges.,Management,Citrusdal,Operations Manager,Permanent,144
16,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Regular breaks. Fair pay. Too much overtime. Transportation issues.,Management,Upington,HR Manager,Permanent,138
18,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Fair pay. Regular breaks. Poor communication. Too much overtime.,Management,Graaff-Reinet,Production Manager,Permanent,151
19,2025-03,Sometimes supported,Neutral,Rarely,Unhappy,Opportunities to learn. Proper equipment provided. Poor communication. Inadequate breaks.,Management,Citrusdal,Operations Manager,Permanent,65
20,2025-03,Often supported,Satisfied,Sometimes,Happy,Good team. Supportive supervisors. Respectful treatment. Safety concerns.,Management,Upington,Operations Manager,Permanent,180
22,2025-03,Sometimes supported,Neutral,Rarely,Happy,Good communication. Fair management. Low wages. Too much overtime.,Management,Graaff-Reinet,Finance Manager,Permanent,60
